Dấu thời gian,"Câu 1:  Sau mỗi buổi học trên lớp, bạn thường dành bao nhiêu thời gian để làm bài tập củng cố / ôn lại bài?   ","Câu 2:  Khi làm sai một câu hỏi/bài tập sau buổi học, khó khăn lớn nhất của bạn là gì? ","Câu 3 (Mức độ cá nhân hóa bài tập): Bạn nghĩ sao nếu bài tập củng cố sau mỗi buổi học được tự động điều chỉnh độ khó dựa trên lực học của riêng bạn (người hiểu nhanh làm câu nâng cao, người còn mơ hồ làm câu củng cố nền tảng)?  ","Câu 4: Nếu hệ thống tự động chỉ ra chính xác trang Slide bạn cần đọc lại dựa trên những câu quiz bạn làm sai, tính năng này có giúp ích cho bạn không?  ","Câu 5:  Sau mỗi buổi học (khoảng 2-3 tiếng), bộ bài tập củng cố dạng Quiz bao nhiêu câu sẽ khiến bạn cảm thấy thoải mái làm nhất mà không bị ngợp? (Chọn 1)",Câu 6:  Điều gì sẽ khiến bạn chủ động làm bài tập củng cố sau mỗi buổi học thay vì bỏ qua? ,"Câu 7 (Tần suất gặp khó khăn): Trong một tuần học, trung bình bạn cảm thấy ""bị hổng kiến thức"" hoặc không theo kịp bài giảng ở khoảng bao nhiêu buổi? (Chọn 1)","Câu 8 (Nhận xét tự động từ AI): Nếu sau khi làm bài, AI gửi cho bạn một đoạn nhận xét dạng: ""Bạn đã nắm tốt phần Khái niệm A (đúng 100%), nhưng đang nhầm lẫn ở Phần B (sai 2 câu). Hãy xem lại Slide 8-10"", bạn đánh giá nhận xét này thế nào? (Chọn 1)",Câu 9 (Thái độ với câu hỏi do AI tạo): Bạn nghĩ sao nếu bài tập trắc nghiệm sau buổi học được tự động tạo bởi AI thay vì giảng viên viết tay? (Chọn 1),"Câu 10:  Nếu hệ thống cung cấp một Biểu đồ theo dõi phong độ học tập qua từng buổi (cho biết bạn đang tiến bộ hay thụt lùi ở từng chủ đề), điều này có ảnh hưởng thế nào đến thói quen học tập của bạn?  "
30/07/2026 15:43:03,Thường không làm bài tập củng cố sau từng buổi,Ngại hỏi trực tiếp giảng viên/trợ giảng,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,Có biểu đồ so sánh kết quả của mình với trung bình cả lớp,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:43:07,Thường không làm bài tập củng cố sau từng buổi,Ngại hỏi trực tiếp giảng viên/trợ giảng,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,Có biểu đồ so sánh kết quả của mình với trung bình cả lớp,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:43:41,Thường không làm bài tập củng cố sau từng buổi,Ngại hỏi trực tiếp giảng viên/trợ giảng,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,Có biểu đồ so sánh kết quả của mình với trung bình cả lớp,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:44:09,Thường không làm bài tập củng cố sau từng buổi,Ngại hỏi trực tiếp giảng viên/trợ giảng,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,Có biểu đồ so sánh kết quả của mình với trung bình cả lớp,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:45:54,Dưới 15 phút,Bài tập quá dài hoặc quá khó so với nội dung giảng dạy trên lớp,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Bình thường, tôi thích tự giở lại Slide tìm hơn",Tôi không muốn làm Quiz trắc nghiệm,Biết ngay điểm số và lời giải chi tiết ngay sau khi nộp,1 - 2 buổi/tuần,"Bình thường, chỉ cần xem đáp án đúng/sai là đủ","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:45:54,Dưới 15 phút,Bài tập quá dài hoặc quá khó so với nội dung giảng dạy trên lớp,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Bình thường, tôi thích tự giở lại Slide tìm hơn",Tôi không muốn làm Quiz trắc nghiệm,Biết ngay điểm số và lời giải chi tiết ngay sau khi nộp,1 - 2 buổi/tuần,"Bình thường, chỉ cần xem đáp án đúng/sai là đủ","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:49:33,Thường không làm bài tập củng cố sau từng buổi,Ngại hỏi trực tiếp giảng viên/trợ giảng,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,Có biểu đồ so sánh kết quả của mình với trung bình cả lớp,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Bình thường, chỉ cần xem đáp án đúng/sai là đủ","E ngại AI tạo câu hỏi bị ngớ ngẩn, khó hiểu hoặc sai đáp án","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
30/07/2026 15:52:43,Thường không làm bài tập củng cố sau từng buổi,Lời giải chỉ báo Đúng/Sai chứ không giải thích tại sao sai,Thích bài tập chung cho cả lớp giống nhau hơn để dễ so sánh kết quả,"Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",Trên 10 câu,"Nhận được gợi ý cụ thể: ""Bạn cần đọc lại trang Slide số X""",Hiếm khi / Không bị hổng buổi nào,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Bình thường, tôi chỉ quan tâm đến điểm thi giữa kỳ/cuối kỳ"
30/07/2026 15:53:01,15 - 30 phút,Không biết chính xác mình bị hổng kiến thức ở trang Slide / đoạn tài liệu nào,Thích bài tập chung cho cả lớp giống nhau hơn để dễ so sánh kết quả,Không cần thiết,5 - 10 câu (Làm trong 5 - 10 phút),"Nhận được gợi ý cụ thể: ""Bạn cần đọc lại trang Slide số X""",1 - 2 buổi/tuần,"Bình thường, chỉ cần xem đáp án đúng/sai là đủ","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Bình thường, tôi chỉ quan tâm đến điểm thi giữa kỳ/cuối kỳ"
30/07/2026 15:55:22,30 - 60 phút,Không biết chính xác mình bị hổng kiến thức ở trang Slide / đoạn tài liệu nào,"Rất hứng thú, giúp tôi học đúng sức và không bị nản hay chán","Rất giúp ích, tiết kiệm nhiều thời gian tìm kiếm",5 - 10 câu (Làm trong 5 - 10 phút),Được cộng điểm chuyên cần / tích điểm thưởng,Hầu như buổi nào cũng có phần chưa hiểu sâu,"Rất hữu ích, giúp tôi biết chính xác cần ôn lại cái gì","Hoàn toàn ủng hộ, miễn là câu hỏi bám sát nội dung đã học trên lớp","Rất tích cực, giúp tôi có động lực duy trì phong độ và biết ngay buổi nào mình đang bị xao nhãng"
